fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.40547,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.40123,0.00981,0.00938,0.9588,0.00052,2.16983,0.76756,6.87594,0.5,1.47944,0.01485,0.65935,0.4,0.0,0.10883,0.5,0.0,0.0,0.0,0.45025,1.0,0.0,0.0
0.42699,0.00956,0.00927,0.94349,0.0004,3.0,0.8,7.08708,0.47216,1.5,0.015,0.71361,0.43582,0.0,0.09885,0.45647,0.0,0.0,0.0,0.59974,0.97343,0.0,0.0
0.41993,0.00867,0.01195,0.95488,0.00056,2.98101,0.95,7.5,0.72011,1.22042,0.0173,0.72303,0.3875,0.0,0.1,0.50817,0.0,0.0,0.0,0.56428,0.9798,0.0,0.0
0.41241,0.01099,0.0094,0.87442,0.00034,3.0,0.68033,9.01502,0.47216,1.77676,0.01769,0.60763,0.40433,0.0,0.09885,0.56598,0.0,0.0,0.0,0.68213,1.0,0.0,0.0
0.42774,0.0089,0.00927,0.92129,0.0004,2.93429,0.81622,7.10415,0.43785,1.51272,0.01467,0.71361,0.43033,0.0,0.0975,0.46342,0.0,0.0,0.0,0.57111,0.97343,0.0,0.0
0.42921,0.0089,0.00747,0.87312,0.00037,2.77699,0.77712,7.59783,0.53601,1.49881,0.01467,0.56554,0.40307,0.0,0.09251,0.46342,0.0,0.0,0.0,0.47472,0.82389,0.0,0.0
0.41344,0.00941,0.00829,0.97635,0.00034,2.84428,0.74945,7.66451,0.43785,1.37005,0.01622,0.75675,0.4508,0.0,0.11781,0.46342,0.0,0.0,0.0,0.62744,0.99978,0.0,0.0
0.4301,0.0089,0.00927,0.92129,0.00039,2.79521,0.91282,6.82642,0.493,1.52305,0.01495,0.74606,0.40457,0.0,0.10046,0.51464,0.0,0.0,0.0,0.59292,0.93914,0.0,0.0
0.42156,0.0089,0.00906,0.9129,0.00039,2.79521,0.95,6.82642,0.493,1.52305,0.01495,0.68955,0.39697,0.0,0.10612,0.49966,0.0,0.0,0.0,0.56802,0.98215,0.0,0.0
0.41618,0.0089,0.00916,0.92129,0.00037,2.7616,0.84898,6.8699,0.45641,1.52305,0.01422,0.74606,0.40523,0.0,0.10211,0.5118,0.0,0.0,0.0,0.60101,0.93914,0.0,0.0
0.43517,0.00792,0.00707,0.85067,0.00034,1.99498,0.77826,7.58198,0.53601,1.49881,0.01467,0.56554,0.40363,0.0,0.11051,0.51752,0.0,0.0,0.0,0.47472,0.59573,0.0,0.0
0.43276,0.00794,0.00812,0.92129,0.0004,2.50802,0.80458,8.06795,0.50218,1.88492,0.01495,0.81161,0.52243,0.0,0.11302,0.51983,0.0,0.0,0.0,0.45985,1.0,0.0,0.0
0.41697,0.00794,0.00812,0.92129,0.0004,2.51051,0.95,6.76338,0.50218,1.88492,0.01555,0.73145,0.61624,0.0,0.11302,0.56351,0.0,0.0,0.0,0.45985,1.0,0.0,0.0
0.44126,0.00725,0.00709,0.83242,0.00035,1.78151,0.87824,7.58415,0.54355,1.52573,0.01123,0.56554,0.45826,0.0,0.12503,0.53402,0.0,0.0,0.0,0.51352,0.58576,0.0,0.0
0.41816,0.00699,0.00757,0.88706,0.00034,1.42113,0.74759,7.58198,0.42066,1.49753,0.01467,0.64321,0.40363,0.0,0.1068,0.62268,0.0,0.0,0.0,0.44165,0.59573,0.0,0.0
0.4289,0.00792,0.00707,0.81311,0.00038,2.25542,0.84114,8.11387,0.56449,1.6174,0.01434,0.60616,0.40363,0.0,0.12305,0.47554,0.0,0.0,0.0,0.46958,0.57379,0.0,0.0
0.4389,0.0054,0.00645,0.85677,0.00038,2.08876,0.86841,7.58415,0.51711,1.27588,0.01207,0.65161,0.45801,0.0,0.13684,0.54821,0.0,0.0,0.0,0.51352,0.58576,0.0,0.0
0.43199,0.00531,0.00663,0.86304,0.00037,2.08876,0.8539,7.58415,0.5194,1.25328,0.01194,0.65161,0.46551,0.0,0.13417,0.58384,0.0,0.0,0.0,0.53365,0.58576,0.0,0.0
0.43339,0.0054,0.00659,0.9222,0.00043,1.96756,0.83204,9.92206,0.5401,1.2704,0.01121,0.71707,0.45883,0.0,0.0935,0.41812,0.0,0.0,0.0,0.43804,0.58576,0.0,0.0
0.4349,0.00817,0.00672,0.81894,0.00032,1.57953,0.72404,7.39381,0.47903,1.36328,0.01298,0.58577,0.38114,0.0,0.1093,0.46415,0.0,0.0,0.0,0.54072,0.55361,0.0,0.0
0.43212,0.00581,0.0065,0.83242,0.0003,1.98566,0.80658,8.02033,0.54355,1.67842,0.01127,0.52681,0.36194,0.0,0.12503,0.53402,0.0,0.0,0.0,0.51352,0.57006,0.0,0.0
0.42292,0.00824,0.00642,0.87335,0.00043,1.77587,0.87824,7.11459,0.45169,1.95893,0.01185,0.56554,0.35694,0.0,0.14824,0.5313,0.0,0.0,0.0,0.66364,0.40062,0.0,0.0
0.43754,0.0074,0.00709,0.83242,0.00035,1.77581,0.86485,7.58415,0.53854,1.5909,0.01132,0.57292,0.45826,0.0,0.1218,0.52134,0.0,0.0,0.0,0.50213,0.5649,0.0,0.0
0.43127,0.00703,0.00702,0.81426,0.00037,1.92371,0.90456,7.32993,0.59928,1.5909,0.01099,0.62053,0.45779,0.0,0.11239,0.52522,0.0,0.0,0.0,0.48736,0.54847,0.0,0.0
0.42677,0.00758,0.00709,0.84487,0.00042,1.71296,0.87824,6.07294,0.54355,1.52573,0.01227,0.44664,0.43961,0.0,0.1206,0.45632,0.0,0.0,0.0,0.51352,0.50646,0.0,0.0
0.43018,0.00571,0.00613,0.84752,0.00038,2.08876,0.95,6.68997,0.51711,1.36933,0.01177,0.72647,0.45834,0.0,0.12358,0.56251,0.0,0.0,0.0,0.52228,0.66981,0.0,0.0
0.42997,0.0074,0.00708,0.8324,0.00035,1.77513,0.86479,7.5747,0.53854,1.59022,0.01132,0.57378,0.45885,0.0,0.12173,0.52011,0.0,0.0,0.0,0.50239,0.56495,0.0,0.0
0.43089,0.00725,0.00709,0.80686,0.00032,1.63269,0.84205,8.01981,0.49962,1.4255,0.0126,0.6552,0.44744,0.0,0.13,0.57323,0.0,0.0,0.0,0.46926,0.53259,0.0,0.0
0.4185,0.0054,0.00645,0.84233,0.00038,2.17606,0.94748,7.73134,0.51403,1.27588,0.01409,0.63915,0.49538,0.0,0.13263,0.54821,0.0,0.0,0.0,0.37384,0.59761,0.0,0.0
0.43039,0.0054,0.00645,0.88716,0.00039,2.29413,0.54001,8.65715,0.48524,1.14718,0.01048,0.65161,0.48468,0.0,0.15962,0.5214,0.0,0.0,0.0,0.35543,0.32609,0.0,0.0
0.42467,0.00725,0.00709,0.83211,0.00033,1.78151,0.71173,6.88859,0.46136,1.72943,0.01193,0.56554,0.43964,0.0,0.14646,0.53402,0.0,0.0,0.0,0.59803,0.58576,0.0,0.0
0.42478,0.00738,0.00653,0.81888,0.00032,1.71898,0.86122,7.74299,0.57281,1.52317,0.01123,0.56554,0.45978,0.0,0.12598,0.53402,0.0,0.0,0.0,0.50464,0.53064,0.0,0.0
0.43992,0.00552,0.00626,0.86449,0.00038,2.20223,0.83887,7.60332,0.51798,1.27588,0.01207,0.65161,0.44908,0.0,0.1424,0.55012,0.0,0.0,0.0,0.48816,0.59938,0.0,0.0
0.43848,0.00696,0.00753,0.84704,0.00035,1.70138,0.95,7.58415,0.63916,1.8375,0.01089,0.53836,0.44627,0.0,0.14419,0.51973,0.0,0.0,0.0,0.53609,0.5994,0.0,0.0
