fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.45264,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.4547,0.0099,0.01004,0.9368,0.0005,3.0,0.81918,7.48258,0.5,1.50391,0.01496,0.70179,0.39877,0.0,0.09831,0.5005,0.0,0.0,0.0,0.49297,0.9993,0.0,0.0
0.45941,0.0099,0.00892,0.92795,0.00041,2.96699,0.7271,8.35667,0.5,1.5675,0.0127,0.72605,0.46337,0.0,0.10218,0.5005,0.0,0.0,0.0,0.49297,1.0,0.0,0.0
0.45529,0.00884,0.00887,0.92702,0.0004,2.92589,0.72983,8.45843,0.48654,1.62314,0.01243,0.71979,0.45902,0.0,0.09989,0.5005,0.0,0.0,0.0,0.48269,0.95597,0.0,0.0
0.46057,0.00929,0.00969,0.92466,0.0005,3.0,0.74296,6.78057,0.5,1.50391,0.01496,0.69283,0.39877,0.0,0.09831,0.62393,0.0,0.0,0.0,0.54514,0.82962,0.0,0.0
0.45856,0.0099,0.00926,0.89699,0.00041,2.96699,0.7271,8.19191,0.48415,1.5675,0.01382,0.76483,0.47183,0.0,0.09962,0.45247,0.0,0.0,0.0,0.4922,1.0,0.0,0.0
0.46257,0.00999,0.00926,0.89699,0.00041,3.21114,0.66612,8.07835,0.47467,1.61244,0.01371,0.73101,0.45347,0.0,0.11601,0.47061,0.0,0.0,0.0,0.47863,1.0,0.0,0.0
0.45459,0.00914,0.00969,0.93432,0.0005,2.74785,0.74296,6.68673,0.53306,1.2969,0.01496,0.85825,0.39877,0.0,0.09831,0.69305,0.0,0.0,0.0,0.52583,0.92122,0.0,0.0
0.45811,0.01007,0.00928,0.89325,0.00041,2.96699,0.74446,8.19191,0.48934,1.5549,0.01398,0.76483,0.47749,0.0,0.09962,0.45662,0.0,0.0,0.0,0.4922,1.0,0.0,0.0
0.45256,0.00957,0.00999,0.88253,0.00044,3.21114,0.67596,8.07835,0.4368,1.77228,0.01289,0.77454,0.45347,0.0,0.11242,0.44689,0.0,0.0,0.0,0.47863,0.99487,0.0,0.0
0.45372,0.01171,0.00926,0.88022,0.00038,3.71983,0.66741,9.30863,0.47467,1.36663,0.01418,0.75421,0.54608,0.0,0.12837,0.41756,0.0,0.0,0.0,0.47863,1.0,0.0,0.0
0.45625,0.00929,0.00925,0.90206,0.0005,2.93462,0.80369,6.78416,0.4541,1.63962,0.01538,0.77003,0.40767,0.0,0.08566,0.60825,0.0,0.0,0.0,0.52952,0.86119,0.0,0.0
0.45172,0.00999,0.00926,0.89569,0.00041,3.21114,0.66612,8.06551,0.47122,1.61508,0.01374,0.73143,0.45069,0.0,0.11666,0.46859,0.0,0.0,0.0,0.47863,1.0,0.0,0.0
0.45402,0.00999,0.01027,0.89933,0.00039,3.15611,0.59842,7.80673,0.42047,1.62149,0.01422,0.68496,0.49028,0.0,0.12286,0.50966,0.0,0.0,0.0,0.43771,1.0,0.0,0.0
0.45525,0.00999,0.00974,0.89699,0.00035,3.02248,0.67212,7.41515,0.57988,1.60014,0.01378,0.73101,0.45347,0.0,0.13407,0.30908,0.0,0.0,0.0,0.46853,1.0,0.0,0.0
0.46226,0.0099,0.00603,0.8263,0.00042,2.96699,0.6092,7.62171,0.48415,1.5675,0.0118,0.73678,0.50014,0.0,0.09308,0.45247,0.0,0.0,0.0,0.50093,0.97791,0.0,0.0
0.46621,0.00912,0.00542,0.86005,0.00046,2.62223,0.52251,6.70911,0.48415,1.36476,0.0118,0.85284,0.49467,0.0,0.09667,0.41079,0.0,0.0,0.0,0.50093,0.97791,0.0,0.0
0.46746,0.00929,0.00969,0.89997,0.00026,2.2585,0.74296,6.85425,0.5,1.82957,0.01496,0.88148,0.35142,0.0,0.09831,0.47479,0.0,0.0,0.0,0.47337,0.67859,0.0,0.0
0.45863,0.00895,0.00838,0.87354,0.00029,2.63979,0.74296,6.54154,0.46741,1.92473,0.0156,0.9,0.35142,0.0,0.10093,0.43592,0.0,0.0,0.0,0.50278,0.5566,0.0,0.0
0.45883,0.00805,0.00897,0.89997,0.0003,2.2585,0.68343,6.31284,0.40942,1.57037,0.0145,0.9,0.33521,0.0,0.09332,0.44084,0.0,0.0,0.0,0.46607,0.80591,0.0,0.0
0.44846,0.0099,0.00459,0.82085,0.00036,3.43941,0.6092,7.7249,0.56414,1.5675,0.0116,0.70383,0.40419,0.0,0.1159,0.46359,0.0,0.0,0.0,0.50093,1.0,0.0,0.0
0.46271,0.00981,0.00963,0.90893,0.00044,3.21114,0.60189,7.5596,0.47467,1.61244,0.01387,0.68973,0.45347,0.0,0.12266,0.45508,0.0,0.0,0.0,0.44839,1.0,0.0,0.0
0.46389,0.00998,0.00967,0.90893,0.00045,3.21114,0.58574,7.31846,0.47413,1.62354,0.01406,0.69137,0.45311,0.0,0.12128,0.45508,0.0,0.0,0.0,0.44839,1.0,0.0,0.0
0.46607,0.01034,0.01175,0.89997,0.00023,2.05874,0.58218,5.25281,0.6951,1.90684,0.01452,0.9,0.3581,0.0,0.0994,0.495,0.0,0.0,0.0,0.50114,0.67859,0.0,0.0
0.46657,0.01051,0.00649,0.88119,0.0005,2.18123,0.62594,5.01885,0.56868,1.36476,0.01653,0.68685,0.44379,0.0,0.08566,0.41079,0.0,0.0,0.0,0.50093,1.0,0.0,0.0
0.46691,0.00912,0.00526,0.90998,0.00046,2.31126,0.53736,7.48923,0.48707,1.25106,0.01039,0.83277,0.45208,0.0,0.10523,0.41079,0.0,0.0,0.0,0.4162,0.96718,0.0,0.0
0.44164,0.0083,0.00935,0.89997,0.00022,2.2585,0.74296,7.14166,0.5,1.82957,0.0163,0.9,0.40947,0.0,0.10797,0.47479,0.0,0.0,0.0,0.45453,0.75144,0.0,0.0
0.45647,0.01051,0.0065,0.8792,0.0005,2.19088,0.63265,5.03544,0.57222,1.37287,0.01654,0.68049,0.44548,0.0,0.08527,0.40884,0.0,0.0,0.0,0.49849,1.0,0.0,0.0
0.46134,0.00929,0.01128,0.88228,0.00024,2.26649,0.75531,7.66739,0.51635,1.93543,0.01483,0.89151,0.35142,0.0,0.09754,0.46774,0.0,0.0,0.0,0.50117,0.65494,0.0,0.0
0.46048,0.01051,0.00645,0.84616,0.00062,2.17689,0.62594,5.50382,0.49619,1.4072,0.01804,0.58869,0.37169,0.0,0.08566,0.41553,0.0,0.0,0.0,0.56372,1.0,0.0,0.0
0.45414,0.00927,0.01017,0.91746,0.00024,1.84758,0.76194,6.85425,0.5757,1.82957,0.01496,0.9,0.35142,0.0,0.09824,0.4039,0.0,0.0,0.0,0.47337,0.67859,0.0,0.0
0.47077,0.0093,0.00971,0.90035,0.00026,2.25962,0.74296,6.85658,0.50081,1.82937,0.01498,0.88108,0.35119,0.0,0.09841,0.47526,0.0,0.0,0.0,0.47317,0.67822,0.0,0.0
0.45923,0.0093,0.01049,0.90035,0.00027,2.46867,0.74916,6.22226,0.50081,1.74953,0.01528,0.86732,0.42537,0.0,0.10984,0.57654,0.0,0.0,0.0,0.52003,0.7413,0.0,0.0
0.45705,0.01016,0.00974,0.89138,0.00027,2.23609,0.74296,5.9949,0.46817,1.86081,0.01334,0.8724,0.34365,0.0,0.11461,0.50137,0.0,0.0,0.0,0.46659,0.55472,0.0,0.0
0.46212,0.00852,0.01043,0.86923,0.0002,2.23233,0.6043,6.85658,0.44801,2.34769,0.01328,0.9,0.40217,0.0,0.09841,0.39651,0.0,0.0,0.0,0.46538,0.67822,0.0,0.0
0.46813,0.00845,0.00915,0.90302,0.00024,2.25962,0.70017,7.04247,0.50081,1.92298,0.01498,0.86013,0.35119,0.0,0.0899,0.49777,0.0,0.0,0.0,0.45975,0.7224,0.0,0.0
0.45867,0.00948,0.00886,0.95024,0.00021,2.16923,0.61512,6.85658,0.51444,1.98965,0.01503,0.86201,0.39147,0.0,0.08611,0.44689,0.0,0.0,0.0,0.44679,0.6211,0.0,0.0
