fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.46381,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.44287,0.01,0.00948,0.98,0.0005,3.2008,0.75094,8.48623,0.5,1.56078,0.01221,0.72361,0.35971,0.0,0.11451,0.5,0.0,0.0,0.0,0.63893,1.0,0.0,0.0
0.46256,0.01058,0.01076,0.9706,0.00053,3.11645,0.88866,7.25394,0.49743,1.5,0.01671,0.70434,0.47945,0.0,0.10506,0.55038,0.0,0.0,0.0,0.49529,0.97893,0.0,0.0
0.44885,0.01006,0.01008,0.93879,0.0005,3.0,0.80507,7.48879,0.50145,1.50237,0.01513,0.70131,0.40071,0.0,0.10081,0.49102,0.0,0.0,0.0,0.5,0.99218,0.0,0.0
0.46524,0.01034,0.01109,0.98,0.00052,3.13614,0.8982,7.5754,0.48972,1.46935,0.01701,0.72504,0.48153,0.0,0.10387,0.55287,0.0,0.0,0.0,0.48637,0.94545,0.0,0.0
0.4599,0.01048,0.01042,0.95266,0.00046,3.71683,0.76085,7.5,0.5,1.55845,0.01551,0.70846,0.48157,0.0,0.09906,0.54805,0.0,0.0,0.0,0.56704,1.0,0.0,0.0
0.45394,0.01054,0.01434,0.95598,0.00055,3.43468,0.95,7.32425,0.49843,1.46944,0.0198,0.71126,0.46863,0.0,0.11419,0.55287,0.0,0.0,0.0,0.46501,1.0,0.0,0.0
0.44426,0.01033,0.01076,0.9706,0.00055,2.85702,0.79991,5.78225,0.33118,1.28964,0.01671,0.5776,0.48165,0.0,0.09195,0.55038,0.0,0.0,0.0,0.46923,1.0,0.0,0.0
0.46267,0.01035,0.01039,0.95266,0.0004,4.57204,0.70204,7.26701,0.55215,1.61406,0.01613,0.72158,0.48157,0.0,0.10736,0.43443,0.0,0.0,0.0,0.54909,0.89012,0.0,0.0
0.45697,0.01034,0.01112,0.98,0.00052,3.15842,0.89405,7.70646,0.4889,1.46935,0.01697,0.72469,0.48153,0.0,0.10092,0.54808,0.0,0.0,0.0,0.4759,0.94545,0.0,0.0
0.44642,0.01034,0.01013,0.97239,0.00046,2.99075,0.88858,7.5754,0.53902,1.47061,0.01763,0.72504,0.47099,0.0,0.09816,0.55287,0.0,0.0,0.0,0.49108,0.9628,0.0,0.0
