fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.44733,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.45955,0.01006,0.01047,0.937,0.00049,2.8878,0.8638,7.5,0.5,1.54882,0.01528,0.65314,0.4187,0.0,0.10036,0.5,0.0,0.0,0.0,0.49791,0.94728,0.0,0.0
0.44101,0.01118,0.00653,0.91484,0.00063,2.8878,0.89451,9.45167,0.54435,1.95404,0.01821,0.62159,0.42675,0.0,0.10036,0.42031,0.0,0.0,0.0,0.49791,0.69981,0.0,0.0
0.44801,0.01102,0.01018,0.937,0.00047,2.8878,0.95,8.26962,0.44011,1.54882,0.01501,0.6892,0.41117,0.0,0.09854,0.44389,0.0,0.0,0.0,0.50638,0.89185,0.0,0.0
0.43564,0.00807,0.01324,0.98,0.00051,3.29261,0.8,11.53409,0.50463,1.67304,0.015,0.75125,0.36016,0.0,0.1,0.78723,0.0,0.0,0.0,0.42089,1.0,0.0,0.0
0.44909,0.00996,0.01,0.92134,0.0005,3.34541,0.8,7.48285,0.6531,1.32022,0.015,0.75608,0.45278,0.0,0.1,0.49977,0.0,0.0,0.0,0.41842,0.7439,0.0,0.0
0.45025,0.00977,0.01118,0.937,0.00048,2.80697,0.81952,7.20636,0.54788,1.37285,0.01528,0.61814,0.41834,0.0,0.09714,0.49358,0.0,0.0,0.0,0.4982,0.82404,0.0,0.0
0.45512,0.00859,0.01049,0.97057,0.0005,3.21874,0.95,7.92283,0.51625,1.43488,0.01491,0.6783,0.47281,0.0,0.09803,0.5,0.0,0.0,0.0,0.4664,1.0,0.0,0.0
0.45368,0.00915,0.00969,0.97214,0.00054,3.20979,0.89851,6.84778,0.4748,1.51489,0.01633,0.65314,0.4187,0.0,0.11113,0.49767,0.0,0.0,0.0,0.49791,0.68245,0.0,0.0
0.45054,0.01232,0.01118,0.91015,0.00037,3.91712,0.81952,8.68687,0.69644,1.7499,0.01528,0.59822,0.41834,0.0,0.13256,0.43227,0.0,0.0,0.0,0.4982,1.0,0.0,0.0
0.45764,0.01017,0.01071,0.937,0.00046,2.75619,0.84721,7.29809,0.50455,1.46559,0.01528,0.64078,0.4187,0.0,0.10572,0.5205,0.0,0.0,0.0,0.49701,0.94159,0.0,0.0
0.43734,0.00915,0.00985,0.97861,0.00056,3.23266,0.95,6.4178,0.4748,1.51489,0.01633,0.69065,0.38535,0.0,0.09323,0.53232,0.0,0.0,0.0,0.5026,0.64823,0.0,0.0
0.4351,0.01113,0.00928,0.98,0.00054,2.46564,0.95,4.07118,0.46845,1.51489,0.01633,0.65314,0.33117,0.0,0.08782,0.3806,0.0,0.0,0.0,0.61378,0.72014,0.0,0.0
0.45204,0.00804,0.01406,0.97008,0.00049,3.35625,0.91151,6.84778,0.4748,1.51489,0.01633,0.62734,0.44894,0.0,0.11102,0.62278,0.0,0.0,0.0,0.58535,0.81392,0.0,0.0
0.44569,0.00995,0.01097,0.937,0.00052,2.98227,0.7316,8.04424,0.43355,1.80872,0.01528,0.65314,0.37068,0.0,0.10765,0.60762,0.0,0.0,0.0,0.5831,0.96801,0.0,0.0
