epoch;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;1.7553;1.6477;1.339;0.36493;0.36847;0.35949;0.17385;1.4811;1.5583;1.1865;0.071034;0.0012699;0.0012699
2;1.6933;1.504;1.3279;0.33804;0.46627;0.40003;0.22197;1.2624;1.3139;1.1126;0.041981;0.0025061;0.0025061
3;1.6599;1.4544;1.3093;0.37483;0.48581;0.43155;0.23059;1.2502;1.1597;1.0802;0.012893;0.0037062;0.0037062
4;1.6214;1.4045;1.3006;0.52102;0.63673;0.5835;0.36331;1.071;0.98189;1.0142;0.0040217;0.0040217;0.0040217
5;1.6031;1.3659;1.286;0.61364;0.6048;0.64076;0.40229;1.036;0.93824;0.99807;0.0039623;0.0039623;0.0039623
6;1.572;1.3216;1.2654;0.57507;0.63966;0.69241;0.46116;0.93339;0.88011;0.93714;0.0039028;0.0039028;0.0039028
7;1.5583;1.2927;1.2498;0.68713;0.62331;0.6918;0.4234;1.0248;0.89065;0.97818;0.0038434;0.0038434;0.0038434
8;1.5358;1.2667;1.2431;0.68803;0.67088;0.73319;0.48221;0.92062;0.85384;0.93334;0.003784;0.003784;0.003784
9;1.5211;1.2521;1.2346;0.67705;0.65439;0.72184;0.48312;0.89876;0.7931;0.91652;0.0037245;0.0037245;0.0037245
10;1.5054;1.2333;1.2215;0.71085;0.68378;0.75188;0.51951;0.86341;0.76155;0.91111;0.0036651;0.0036651;0.0036651
11;1.4924;1.194;1.2081;0.71533;0.7143;0.76897;0.52881;0.84871;0.75396;0.91258;0.0036057;0.0036057;0.0036057
12;1.479;1.1744;1.2016;0.72614;0.70423;0.77076;0.53764;0.83303;0.71484;0.90137;0.0035463;0.0035463;0.0035463
13;1.4648;1.1478;1.1917;0.7706;0.71196;0.79696;0.56264;0.79627;0.69637;0.89552;0.0034868;0.0034868;0.0034868
14;1.4504;1.1272;1.1811;0.74081;0.71143;0.78406;0.5485;0.81754;0.75333;0.88483;0.0034274;0.0034274;0.0034274
15;1.4358;1.1121;1.177;0.78042;0.72713;0.80252;0.57769;0.7887;0.69409;0.87352;0.003368;0.003368;0.003368
16;1.4311;1.0937;1.1695;0.79123;0.7317;0.81484;0.5895;0.79444;0.66309;0.87148;0.0033085;0.0033085;0.0033085
17;1.4205;1.0789;1.1648;0.81025;0.72095;0.8075;0.58604;0.76361;0.64852;0.86637;0.0032491;0.0032491;0.0032491
18;1.4106;1.0579;1.1562;0.76646;0.73665;0.81808;0.58009;0.80021;0.66667;0.87219;0.0031897;0.0031897;0.0031897
19;1.4056;1.0546;1.1543;0.75953;0.75046;0.82373;0.60012;0.75382;0.64358;0.85865;0.0031302;0.0031302;0.0031302
20;1.3912;1.0335;1.1424;0.75991;0.75984;0.817;0.60692;0.7316;0.64623;0.84924;0.0030708;0.0030708;0.0030708
21;1.3822;1.02;1.1394;0.79929;0.74534;0.83298;0.60991;0.73799;0.62322;0.84963;0.0030114;0.0030114;0.0030114
22;1.378;1.0111;1.136;0.80677;0.73622;0.82605;0.60533;0.73137;0.61921;0.84848;0.0029519;0.0029519;0.0029519
23;1.3743;1.0024;1.1336;0.7915;0.74598;0.82587;0.61473;0.72087;0.60272;0.84464;0.0028925;0.0028925;0.0028925
24;1.3574;0.98456;1.1205;0.79955;0.73863;0.82904;0.6135;0.72206;0.60509;0.84225;0.0028331;0.0028331;0.0028331
25;1.3619;0.98355;1.1236;0.80036;0.75189;0.83375;0.62239;0.70896;0.59844;0.8367;0.0027736;0.0027736;0.0027736
26;1.3486;0.96921;1.1132;0.79975;0.77388;0.83878;0.62207;0.72034;0.58752;0.83761;0.0027142;0.0027142;0.0027142
27;1.3474;0.97867;1.1153;0.79499;0.7753;0.83805;0.62184;0.71025;0.59135;0.83472;0.0026548;0.0026548;0.0026548
28;1.3383;0.96819;1.1097;0.78367;0.79235;0.84937;0.63563;0.70752;0.57751;0.83518;0.0025953;0.0025953;0.0025953
29;1.3319;0.94857;1.1073;0.78442;0.79836;0.84392;0.63224;0.6931;0.57318;0.83008;0.0025359;0.0025359;0.0025359
30;1.3211;0.94812;1.1022;0.8263;0.77383;0.84933;0.64259;0.69919;0.56939;0.8269;0.0024765;0.0024765;0.0024765
31;1.3221;0.94035;1.0966;0.81797;0.78649;0.85838;0.6579;0.69938;0.57593;0.8299;0.002417;0.002417;0.002417
32;1.3049;0.92626;1.0856;0.80215;0.79395;0.85322;0.65776;0.68414;0.55897;0.82148;0.0023576;0.0023576;0.0023576
33;1.3062;0.91654;1.0926;0.80584;0.79381;0.85704;0.65134;0.67713;0.55077;0.8226;0.0022982;0.0022982;0.0022982
34;1.3028;0.91302;1.0868;0.81357;0.79063;0.85753;0.66468;0.68576;0.55036;0.8188;0.0022388;0.0022388;0.0022388
35;1.2926;0.9126;1.0804;0.82361;0.78237;0.87039;0.67288;0.67174;0.55395;0.81815;0.0021793;0.0021793;0.0021793
36;1.289;0.90451;1.0772;0.79472;0.8096;0.87098;0.67343;0.67359;0.54997;0.82092;0.0021199;0.0021199;0.0021199
37;1.2825;0.8943;1.0718;0.85836;0.77424;0.86065;0.66925;0.66471;0.54277;0.81884;0.0020605;0.0020605;0.0020605
38;1.2783;0.88803;1.0701;0.8363;0.77143;0.86884;0.67742;0.6682;0.53606;0.81959;0.002001;0.002001;0.002001
39;1.2635;0.87832;1.0609;0.82664;0.79639;0.86616;0.67537;0.66877;0.54447;0.81641;0.0019416;0.0019416;0.0019416
40;1.266;0.87439;1.0632;0.80097;0.80714;0.86013;0.67593;0.66472;0.53724;0.81501;0.0018822;0.0018822;0.0018822
41;1.261;0.86981;1.0613;0.83863;0.79085;0.8634;0.67368;0.66548;0.53587;0.81573;0.0018227;0.0018227;0.0018227
42;1.2613;0.87172;1.0558;0.82423;0.79135;0.86585;0.67899;0.65937;0.54127;0.81419;0.0017633;0.0017633;0.0017633
43;1.2527;0.85707;1.0571;0.83789;0.7963;0.86902;0.67723;0.66204;0.53129;0.81597;0.0017039;0.0017039;0.0017039
44;1.2451;0.85102;1.0554;0.83075;0.7979;0.87061;0.68573;0.66155;0.52745;0.81385;0.0016444;0.0016444;0.0016444
45;1.2375;0.85146;1.049;0.82903;0.79672;0.86923;0.68132;0.65399;0.52164;0.80788;0.001585;0.001585;0.001585
46;1.2347;0.844;1.0483;0.81574;0.82456;0.86966;0.68543;0.65671;0.52581;0.81116;0.0015256;0.0015256;0.0015256
47;1.2276;0.83279;1.0429;0.83596;0.79545;0.86625;0.68105;0.66036;0.52982;0.81198;0.0014661;0.0014661;0.0014661
