epoch;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;2.0328;2.1505;2.0561;0.20787;0.28683;0.19541;0.07889;2.0919;2.5589;2.1104;0.059932;0.0041036;0.0041036
2;1.973;1.9891;2.0512;0.81865;0.25298;0.32209;0.15876;1.7529;1.7636;1.8271;0.019678;0.008098;0.008098
3;1.9098;1.8909;2;0.86901;0.31914;0.41361;0.22586;1.4453;1.4931;1.651;0.0090271;0.0090271;0.0090271
4;1.8603;1.8207;1.9682;0.43777;0.4733;0.47551;0.2839;1.312;1.3865;1.5571;0.0088957;0.0088957;0.0088957
5;1.8232;1.7654;1.9332;0.529;0.5533;0.58081;0.3399;1.2629;1.2881;1.5751;0.0087643;0.0087643;0.0087643
6;1.7988;1.7184;1.9255;0.56837;0.57974;0.62327;0.38177;1.19;1.1929;1.4847;0.0086329;0.0086329;0.0086329
7;1.7824;1.6775;1.9075;0.5831;0.59876;0.61406;0.37929;1.2106;1.1754;1.5;0.0085014;0.0085014;0.0085014
8;1.7556;1.6337;1.882;0.60459;0.62403;0.66028;0.4306;1.1375;1.0928;1.4333;0.00837;0.00837;0.00837
9;1.7476;1.6107;1.8791;0.64952;0.632;0.66254;0.42632;1.1158;1.144;1.461;0.0082386;0.0082386;0.0082386
10;1.7334;1.5973;1.8599;0.70799;0.62838;0.69347;0.47446;1.0268;1.0333;1.3753;0.0081071;0.0081071;0.0081071
11;1.7168;1.5707;1.8523;0.63365;0.63983;0.68201;0.45323;1.0588;1.0353;1.3819;0.0079757;0.0079757;0.0079757
12;1.7048;1.5532;1.836;0.71263;0.68859;0.75157;0.49889;1.0501;0.95821;1.3964;0.0078443;0.0078443;0.0078443
13;1.6944;1.549;1.8329;0.69892;0.63731;0.71111;0.46944;1.0738;0.97366;1.4035;0.0077129;0.0077129;0.0077129
14;1.6787;1.5259;1.8145;0.69718;0.62697;0.69477;0.47239;1.046;1.0457;1.3657;0.0075814;0.0075814;0.0075814
15;1.6725;1.5227;1.8067;0.73718;0.69723;0.77321;0.53676;0.94604;0.91178;1.3166;0.00745;0.00745;0.00745
16;1.667;1.5079;1.8038;0.72659;0.65728;0.73956;0.49061;1.0368;0.96503;1.3742;0.0073186;0.0073186;0.0073186
17;1.6507;1.4896;1.7891;0.77095;0.69107;0.77515;0.54377;0.93954;0.91275;1.319;0.0071871;0.0071871;0.0071871
18;1.6443;1.4662;1.7861;0.77547;0.70291;0.79249;0.55603;0.93285;0.86091;1.3038;0.0070557;0.0070557;0.0070557
19;1.6257;1.466;1.7631;0.74254;0.69276;0.77742;0.55888;0.90565;0.83199;1.2931;0.0069243;0.0069243;0.0069243
20;1.6287;1.452;1.7641;0.79601;0.72021;0.80541;0.57504;0.9228;0.81595;1.2993;0.0067929;0.0067929;0.0067929
21;1.6299;1.4523;1.7646;0.79506;0.69326;0.79692;0.57101;0.88743;0.82479;1.2982;0.0066614;0.0066614;0.0066614
22;1.6083;1.4255;1.7503;0.75376;0.70871;0.78427;0.55972;0.89423;0.83153;1.2897;0.00653;0.00653;0.00653
23;1.6036;1.419;1.7443;0.79113;0.72143;0.80346;0.5695;0.89165;0.80187;1.2786;0.0063986;0.0063986;0.0063986
24;1.594;1.4012;1.7352;0.73352;0.72223;0.75693;0.54225;0.91755;0.88273;1.3052;0.0062671;0.0062671;0.0062671
25;1.5964;1.3927;1.741;0.75851;0.72242;0.79474;0.57193;0.90312;0.85511;1.2895;0.0061357;0.0061357;0.0061357
26;1.5847;1.3841;1.724;0.75067;0.7146;0.78184;0.56226;0.89936;0.86281;1.2927;0.0060043;0.0060043;0.0060043
27;1.5708;1.3681;1.7172;0.80301;0.72233;0.81294;0.59679;0.84082;0.75881;1.2497;0.0058729;0.0058729;0.0058729
28;1.5683;1.3545;1.7165;0.76774;0.76058;0.82024;0.60277;0.84592;0.78325;1.2566;0.0057414;0.0057414;0.0057414
29;1.5646;1.3354;1.7145;0.79205;0.74908;0.81595;0.60021;0.8502;0.76746;1.241;0.00561;0.00561;0.00561
30;1.5583;1.329;1.6994;0.79012;0.72968;0.81895;0.60698;0.82492;0.75172;1.2402;0.0054786;0.0054786;0.0054786
31;1.5527;1.3265;1.7006;0.77493;0.72763;0.81544;0.60224;0.84203;0.75604;1.2466;0.0053472;0.0053472;0.0053472
32;1.546;1.3118;1.6902;0.78019;0.75612;0.82103;0.60871;0.82628;0.74718;1.2302;0.0052157;0.0052157;0.0052157
33;1.5351;1.289;1.6857;0.78081;0.76018;0.82753;0.61637;0.82112;0.72238;1.2389;0.0050843;0.0050843;0.0050843
34;1.5386;1.2877;1.6783;0.77558;0.76309;0.82943;0.616;0.81032;0.73277;1.2357;0.0049529;0.0049529;0.0049529
35;1.524;1.2766;1.6738;0.76733;0.75251;0.82406;0.61604;0.82938;0.73497;1.2328;0.0048214;0.0048214;0.0048214
36;1.5248;1.2629;1.6726;0.76783;0.77241;0.83075;0.61726;0.81099;0.72523;1.2233;0.00469;0.00469;0.00469
37;1.5115;1.2527;1.659;0.80423;0.75601;0.83671;0.62846;0.80667;0.72602;1.2248;0.0045586;0.0045586;0.0045586
38;1.4962;1.2253;1.6484;0.7937;0.76866;0.8413;0.62613;0.80805;0.71953;1.2204;0.0044272;0.0044272;0.0044272
39;1.501;1.2215;1.6445;0.80072;0.74755;0.83957;0.63559;0.8018;0.71033;1.2205;0.0042957;0.0042957;0.0042957
40;1.4946;1.2088;1.6411;0.8278;0.7329;0.83372;0.6284;0.79357;0.70537;1.2065;0.0041643;0.0041643;0.0041643
41;1.4878;1.1984;1.6374;0.83324;0.72408;0.83243;0.62393;0.80103;0.71689;1.2138;0.0040329;0.0040329;0.0040329
42;1.4795;1.1886;1.626;0.82039;0.73989;0.84195;0.63206;0.7932;0.69735;1.2101;0.0039014;0.0039014;0.0039014
43;1.4769;1.1774;1.6197;0.82121;0.74538;0.84135;0.63174;0.78833;0.70587;1.2017;0.00377;0.00377;0.00377
44;1.4698;1.1733;1.6169;0.82186;0.74155;0.84461;0.63631;0.78441;0.69657;1.202;0.0036386;0.0036386;0.0036386
45;1.4663;1.1615;1.6126;0.81933;0.77266;0.8513;0.63864;0.7863;0.68922;1.2007;0.0035072;0.0035072;0.0035072
46;1.4676;1.1601;1.6116;0.81229;0.7462;0.83814;0.63495;0.7798;0.69212;1.2024;0.0033757;0.0033757;0.0033757
47;1.4496;1.1467;1.5946;0.79802;0.77808;0.85166;0.64229;0.78345;0.68305;1.199;0.0032443;0.0032443;0.0032443
48;1.441;1.1316;1.5889;0.83334;0.743;0.84092;0.63445;0.78647;0.68044;1.1936;0.0031129;0.0031129;0.0031129
49;1.4381;1.1289;1.5839;0.81878;0.76785;0.84818;0.63143;0.78393;0.68338;1.1927;0.0029814;0.0029814;0.0029814
