                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2349,                 2.1159,                 1.6714,                   0.25,                0.37845,                0.29867,                0.14423,                 1.8056,                 1.9524,                  1.472,               0.070052,              0.0033276,              0.0033276
                      2,                 2.1745,                 1.9804,                 1.6586,                0.81666,                0.30233,                0.35817,                0.18535,                 1.6623,                 1.8129,                 1.3715,               0.039958,              0.0065667,              0.0065667
                      3,                  2.093,                  1.896,                 1.6031,                0.86075,                0.35613,                0.42285,                0.21038,                 1.7501,                 1.5514,                 1.4471,              0.0097693,              0.0097115,              0.0097115
                      4,                 2.0561,                 1.8477,                 1.5846,                0.83327,                0.37234,                 0.4395,                0.26738,                 1.3649,                 1.3513,                 1.2583,              0.0095757,              0.0095757,              0.0095757
                      5,                 2.0109,                 1.7916,                 1.5613,                0.84012,                0.38648,                0.45595,                0.28019,                 1.3252,                 1.3447,                 1.2034,              0.0094343,              0.0094343,              0.0094343
                      6,                 1.9744,                 1.7432,                 1.5364,                0.38726,                0.51799,                0.50058,                0.32257,                 1.2578,                 1.2783,                  1.198,              0.0092929,              0.0092929,              0.0092929
                      7,                 1.9636,                 1.7127,                 1.5276,                0.53052,                 0.5715,                 0.5592,                0.35418,                  1.256,                 1.2256,                 1.2016,              0.0091514,              0.0091514,              0.0091514
                      8,                 1.9459,                  1.684,                   1.53,                 0.5948,                0.62014,                0.63349,                0.40295,                 1.2169,                 1.1234,                 1.1718,                0.00901,                0.00901,                0.00901
                      9,                 1.9196,                 1.6458,                 1.5115,                0.59524,                0.60978,                0.64298,                0.40344,                 1.2839,                  1.102,                 1.1864,              0.0088686,              0.0088686,              0.0088686
                     10,                 1.9172,                 1.6221,                 1.5038,                0.65827,                0.63334,                0.68266,                0.44209,                 1.1939,                 1.0954,                 1.1644,              0.0087271,              0.0087271,              0.0087271
                     11,                 1.8996,                 1.6052,                 1.4888,                0.68005,                 0.6531,                0.71221,                0.48222,                 1.1212,                 1.0071,                 1.1314,              0.0085857,              0.0085857,              0.0085857
                     12,                 1.8728,                 1.5572,                 1.4746,                0.63244,                0.63946,                0.66828,                0.41697,                 1.2911,                 1.0609,                 1.1711,              0.0084443,              0.0084443,              0.0084443
                     13,                 1.8584,                 1.5543,                  1.468,                0.70823,                0.63576,                0.71225,                0.48262,                 1.1381,                0.95414,                  1.109,              0.0083029,              0.0083029,              0.0083029
                     14,                 1.8581,                  1.542,                 1.4681,                0.69325,                0.67961,                0.72833,                0.49699,                 1.0872,                0.96135,                 1.0984,              0.0081614,              0.0081614,              0.0081614
                     15,                 1.8495,                 1.5424,                 1.4526,                0.69669,                0.67475,                0.72219,                0.50048,                 1.0327,                 0.9295,                  1.072,                0.00802,                0.00802,                0.00802
                     16,                 1.8305,                 1.5173,                 1.4476,                0.76417,                0.68467,                0.77326,                0.53773,                 1.0528,                0.89868,                   1.07,              0.0078786,              0.0078786,              0.0078786
                     17,                 1.8301,                 1.5056,                 1.4501,                0.75505,                0.66519,                0.75575,                0.52755,                 1.0481,                0.91088,                 1.0674,              0.0077371,              0.0077371,              0.0077371
                     18,                 1.8214,                 1.5001,                 1.4492,                0.74238,                0.70278,                0.77515,                 0.5454,                 1.0194,                0.88658,                 1.0819,              0.0075957,              0.0075957,              0.0075957
                     19,                 1.8102,                 1.4811,                 1.4329,                0.74628,                0.70512,                 0.7708,                0.54791,                 1.0101,                0.86302,                 1.0549,              0.0074543,              0.0074543,              0.0074543
                     20,                 1.8085,                 1.4721,                 1.4324,                0.74069,                0.71699,                0.77749,                0.55756,                 1.0084,                0.86525,                 1.0685,              0.0073129,              0.0073129,              0.0073129
                     21,                 1.7906,                 1.4577,                 1.4218,                0.77342,                0.72312,                0.78777,                0.55312,                 1.0204,                0.86072,                 1.0574,              0.0071714,              0.0071714,              0.0071714
                     22,                 1.7875,                 1.4387,                 1.4184,                0.72395,                0.76362,                0.80076,                0.57251,                0.99471,                0.83526,                 1.0396,                0.00703,                0.00703,                0.00703
                     23,                 1.7886,                 1.4269,                 1.4217,                0.77462,                0.73828,                0.80596,                0.58139,                0.97125,                0.81945,                 1.0447,              0.0068886,              0.0068886,              0.0068886
                     24,                 1.7775,                 1.4141,                 1.4109,                0.79355,                0.72434,                0.80704,                0.58489,                0.95923,                0.79448,                 1.0306,              0.0067471,              0.0067471,              0.0067471
                     25,                 1.7618,                 1.3992,                 1.3993,                 0.8005,                0.72549,                 0.8105,                0.58651,                0.96789,                0.80877,                 1.0403,              0.0066057,              0.0066057,              0.0066057
                     26,                 1.7695,                 1.4006,                 1.4059,                0.77715,                0.74754,                0.80001,                0.58761,                0.97282,                0.81391,                 1.0387,              0.0064643,              0.0064643,              0.0064643
