                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1471,                 2.8524,                  1.477,                 0.3706,                0.54702,                0.48052,                0.27691,                 1.3826,                 1.7557,                 1.1315,              0.0033276,              0.0033276,              0.0033276
                      2,                 2.0015,                 1.9745,                 1.4396,                0.62452,                0.52578,                0.57911,                0.22399,                 1.9593,                  1.425,                 1.3295,              0.0065667,              0.0065667,              0.0065667
                      3,                 2.0027,                 1.7794,                 1.4642,                0.59212,                0.57405,                0.60489,                 0.3542,                 1.3818,                 1.2537,                  1.147,              0.0097115,              0.0097115,              0.0097115
                      4,                 2.0075,                 1.7241,                 1.4787,                0.61662,                0.60814,                0.65305,                0.40006,                 1.3313,                 1.2032,                 1.1437,              0.0095757,              0.0095757,              0.0095757
                      5,                 1.9623,                 1.6565,                 1.4629,                0.67845,                0.48888,                0.54612,                0.32586,                 1.4678,                 1.3151,                  1.187,              0.0094343,              0.0094343,              0.0094343
                      6,                 1.9248,                 1.5993,                 1.4394,                0.66267,                0.56609,                0.62591,                0.38424,                 1.3268,                 1.2289,                  1.128,              0.0092929,              0.0092929,              0.0092929
                      7,                 1.8943,                 1.5563,                 1.4227,                0.69583,                0.61236,                 0.6772,                0.42695,                   1.22,                 1.1403,                 1.0943,              0.0091514,              0.0091514,              0.0091514
                      8,                 1.8668,                 1.5066,                 1.4103,                0.68496,                0.69275,                0.73695,                0.48891,                 1.1627,                0.98879,                 1.0615,                0.00901,                0.00901,                0.00901
                      9,                 1.8399,                 1.4595,                 1.3949,                0.69914,                0.69589,                0.74149,                0.49635,                 1.1695,                 0.9849,                 1.0735,              0.0088686,              0.0088686,              0.0088686
                     10,                 1.8175,                 1.4185,                 1.3734,                0.73117,                0.71095,                0.77281,                0.52346,                 1.0982,                0.92358,                 1.0449,              0.0087271,              0.0087271,              0.0087271
                     11,                 1.7976,                 1.3937,                 1.3601,                0.74984,                0.71093,                0.78214,                 0.5531,                 1.0385,                0.88918,                 1.0194,              0.0085857,              0.0085857,              0.0085857
                     12,                 1.7736,                 1.3501,                 1.3464,                0.73715,                0.67496,                0.75507,                0.52532,                 1.0842,                0.95057,                 1.0423,              0.0084443,              0.0084443,              0.0084443
                     13,                 1.7625,                 1.3381,                 1.3442,                 0.7884,                0.69279,                0.79492,                0.56603,                 1.0117,                0.83107,                 1.0066,              0.0083029,              0.0083029,              0.0083029
